Define the term Allocative inefficiency,"Using a supply and demand diagram, explain the law of diminishing marginal returns","Sketch a income elastic diagram, income inelastic, and inferior good on engals curve","Using real-world examples, compare and contrast the relationship between growth and market effieciency",,,,,,,,,,,,,,,,,,
Define the term Anchoring,"Using a supply and demand diagram, explain the concept of increasing marginal costs",Construct a demand and supply diagram.,"Using real-world examples, explain how the concepts of scarcity and choice are interconnected",,,,,,,,,,,,,,,,,,
Define the term Anti-dumping,"Using a supply side diagram, explain what supply is","Calculate the producer surplus with the information below, Qe = 5, Pe =5, assume the supply curve touches the price axis at P=1.","Using real-world examples, discuss how the importance YED in explaining changes in the sectoral structure of the economy.",,,,,,,,,,,,,,,,,,
Define the term Anti-monopoly regulation,Explain the relationship between an individual producer's supply and market supply by suing a supply curve diagram,Calculate the quantity of underallocated resources in the diagram,"Using real-world examples, explain how a firm's knowledge of PED can influence its pricing decisions ",,,,,,,,,,,,,,,,,,
Define the term Appreciation,"Using a supply and demand diagram, explain one non-price determinant  of supply",Calculate Government revenue,"Using real-world examples, explain how a government's knowledge of PED can influence its pricing decisions",,,,,,,,,,,,,,,,,,
Define the term Appropriate technology,Explain how changes in costs of factors of production (FOPs) shift the supply curve.,Calculate consumer burden,"Using real-world examples, justify why the PED for a primary commodity is expected to be lower than the PED for a manufactured good. ",,,,,,,,,,,,,,,,,,
Define the term Asymmetric information,"Explain how prices of related goods shift the supply curve.
",Calculate loss in revenue,"Using real-world examples, explain how a firm's knowledge of PED can influence its pricing decisions ",,,,,,,,,,,,,,,,,,
Define the term Automatic stabilizers,"Explain how indirect taxesshift the supply curve.
",Calculate Firm Revenue,"Using real-world examples, explain how a government's knowledge of PED can influence its pricing decisions",,,,,,,,,,,,,,,,,,
Define the term Availability bias,"Explain how future price expectations shift the supply curve.
",Calculate the welfare loss of the negative externality diagram,"Using real-world examples, justify why the PED for a primary commodity is expected to be lower than the PED for a manufactured good. ",,,,,,,,,,,,,,,,,,
Define the term Average costs,Explain how changes in technology shift the supply curve.,Calculate producer burden,"Using real-world examples, Discuss the importance of YED for firms ",,,,,,,,,,,,,,,,,,
Define the term Average revenue,"Explain how the numbers of firms shift the supply curve.
",sketch a collusive oligopoly diagram,  to what extent does an indirect tax minimise negative consumption externalities,,,,,,,,,,,,,,,,,,
Define the term Average tax rate,Draw the movements/ shifts of the supply curve and explain a possible determinant,calculate concentration ratio,Evaluate the effectiveness of indirect taxes on stakeholders,,,,,,,,,,,,,,,,,,
Define the term Balance of payments,"Using a supply and demand diagram, show how market equilibrium is formed",calculate normal profit. ,Evaluate the effectiveness of subsidy on stakeholders,,,,,,,,,,,,,,,,,,
Define the term Balance of trade in goods,"Using a supply and demand diagram, explain how market equilibrium is formed with the roles of price mechanisms",calculate abnormal profit. ,Discuss reasons for government to intervene markets,,,,,,,,,,,,,,,,,,
Define the term Balance of trade in services,Explain the functuions of the price mechanism,Calculate losses,"Using a diagram, discuss how the government can use price floors to eliminate market failure. ",,,,,,,,,,,,,,,,,,
Define the term Bargaining Power,Explain the role of resource allocation,Sketch a Business cycle diagram and label all short term and long term fluctuations,Evaluate the use of carbon taxes to reduce threats to sustainability.,,,,,,,,,,,,,,,,,,
Define the term Barriers to entry,Explain the role of signalling,Draw two diagrams of the alternate view of the AS curve,Evaluate the strengths and limitations to  government intervention on managing common pool resources,,,,,,,,,,,,,,,,,,
Define the term Barriers to education,Explain the role of incentive, diagram of the alternate view of the AS curve,Discuss why government intervention may not be effective in fixing externalities,,,,,,,,,,,,,,,,,,
Define the term Barriers to good health,Explain the role of rationing,illistrate inflationary gap for moneterist model ,Evaluate the consequence for stakeholders after the government attempts to fix an externality,,,,,,,,,,,,,,,,,,
Define the term Basic economic questions,"Using a supply and demand diagram, explain consumer/producer surplus",illustrate how a monetary model will correct itself in the long run,"Using real-world examples, evaluate whether a monopoly or perfectly competitive market offers the better deal for consumers.",,,,,,,,,,,,,,,,,,
Define the term Behavioural economics,"Using a supply and demand diagram, explain social/community surplus",Draw a diagram to illustrate the effect of the discovery of a new oil mine on the AS in Myanmmar,"Using real-world examples, evaluate governemnt intervention policies to address market power abuse.",,,,,,,,,,,,,,,,,,
Define the term Biases,"Using a supply and demand diagram, explain allocative efficiency",Draw a diagram to illustrate the effect of improvements of technology in country X,"Using real-world examples, explain how indirect tax influence AD.",,,,,,,,,,,,,,,,,,
Define the term Bilateral trade agreement,"Using a supply and demand diagram, explain how social/community surplus is maximized at equilibrium",Sketch an AD/AS diagram to illustrate the possible effect on the economy in the long run if the government reduces the rate of corporate income tax from 30% to 26%.,Discuss the consequences of the direct provision of public goods by the government. ,,,,,,,,,,,,,,,,,,
Define the term Bounded rationality,"Using a supply and demand diagram, explain marginal benefit/cost",draw a moneterist model at equillibrium,Discuss the reasons why firms compete or collude in oligopolistic markets. ,,,,,,,,,,,,,,,,,,
Define the term Bounded self-control,"Using signalling and incentive function of prices, explain how the price mechanism reallocates resources given an increase in demand for a good or service",draw a keynesian model at equillibrium,Discuss the view that the best way to reduce unemployment is through education and training. ,,,,,,,,,,,,,,,,,,
Define the term Bounded selfishness,"Using the concepts of producer and consumer surplus, explain why allocative effeincy is achieved at free market equilibrium",Calculation: the rate of economic growth ,Evaluate the view that the use of fiscal policy is the most effective way of reducing the rate of inflation in an economy. ,,,,,,,,,,,,,,,,,,
Define the term Budget deficit,Explain the role of rational consumer choice on the economy,Calculation: the unemployment rate,Discuss the consequences of providing a subsidy for goods such as agricultural products. ,,,,,,,,,,,,,,,,,,
Define the term Budget surplus,"Demonstrate how the assumption of consumer rationality affects the market.
",Calculation: the inflation rate,Evaluate the view that the use of regulation is the most effective way to reduce negative externalities. ,,,,,,,,,,,,,,,,,,
Define the term Business confidence,Explain the limitations of the assumption of rational consumer choice,Calculation the quantity of exports,Discuss the view that the best way to reduce unemployment is through education and training. ,,,,,,,,,,,,,,,,,,
Define the term Business cycle,Explain the impact of rule of thumb biases on the market,Calculation the quantity of quantity of imports,Discuss the view that a rise in the GNP/GNI per capita will always lead to a rise in living standards in a country.,,,,,,,,,,,,,,,,,,
Define the term Business tax,Analyze the impact of bounded rationality for consumer decision-making in markets.,Calculation the quantity of import expenditure,Examine the significance of price elasticity of demand for the decision making of firms and government.,,,,,,,,,,,,,,,,,,
Define the term Capital (Capital Goods),Distinguish the difference between bounded self-contorl and bounded selfishness,Calculation the quantity of export revenue,Evaluate whether the use of carbon taxes is the most effective way for the government to deal with the threat to sustainability posed by the use of fossil fuels.,,,,,,,,,,,,,,,,,,
Define the term Capital account,Analyze how bounded selfishness can alter the market,,"Discuss the possible consequences of economic growth on living standards,  unemployment and inflation.",,,,,,,,,,,,,,,,,,
Define the term Capital expenditure,Explain the effects of imperfect information on consumer choices and market efficiency.,,Evaluate the view that fiscal policy is the most effective way of achieving long-term economic growth. ,,,,,,,,,,,,,,,,,,
Define the term Capital flight,Explain the consequences of restricted choices on market inefficiency. ,,Discuss the view that governments should tax the consumption of gasoline (petroleum).,,,,,,,,,,,,,,,,,,
Define the term Capital gains tax,Explain how nudge theory can improve consumer decision-making.,,Discuss whether price will always be lower and output will always be higher in perfect  competition compared to monopoly.,,,,,,,,,,,,,,,,,,
Define the term Capital Goods,"Using a demand and supply diagram, explain profit maximization",,Evaluate government policies to deal with the different types of unemployment.,,,,,,,,,,,,,,,,,,
Define the term Capital transfers,Explain the possible impacts of corporate social responsibility on a firm's market ,, Evaluate the view that fiscal policy is the most effective way of achieving long-term economic growth. ,,,,,,,,,,,,,,,,,,
Define the term Carbon (emissions) taxes,Explain the impact of market share on the economy,,"Using real-world examples, discuss the view that governments should intervene  if markets fail to provide public goods.",,,,,,,,,,,,,,,,,,
Define the term Central bank,Analyze the impact of satisficing on consumer decisions,,"Using real-world examples, evaluate the use of fiscal policy to close a deflationary gap.",,,,,,,,,,,,,,,,,,
Define the term Ceteris paribus,Explain the relationship between growth and market effieciency,,"Using real-world examples, discuss the consequences for an economy of an  appreciation of its currency.",,,,,,,,,,,,,,,,,,
Define the term Choice architecture,Explain the concept of elasticity in economics,,"Using real-world examples, evaluate the policies a government might adopt to  respond to a market situation in which significant asymmetric information exists.",,,,,,,,,,,,,,,,,,
Define the term Circular economy,Explain how the price elasticity of demand can influence the behaviour of firms,,"Using real-world examples, discuss the potential trade-off between unemployment  and inflation. ",,,,,,,,,,,,,,,,,,
Define the term Circular flow of income,"Using a diagram, outline two goods with relatively elastic and inelastic PED. ",,"Using real-world examples, evaluate the decision of a country to remain a member  of a trading bloc.",,,,,,,,,,,,,,,,,,
Define the term Collective self-governance,Explain the theoretical range of values for PED,,"Using real-world examples, evaluate the effects for stakeholders of a government  imposing an indirect tax on a particular good. ",,,,,,,,,,,,,,,,,,
Define the term Collusive oligopoly,Explain how the relative steepness of demand curves can be an indication of PED,,"Using real-world examples, discuss the significance of economic barriers for a  country’s economic growth and economic development.",,,,,,,,,,,,,,,,,,
Define the term Commercial banks,Explain two determinants for the price elasticity of demand ,,"Using real-world examples, discuss the impact of large firms having significant  market power.",,,,,,,,,,,,,,,,,,
Define the term Common market,Explain how total PED has an impact on the total revenue of a firm ,,"Using real-world examples, evaluate the view that the use of interventionist  supply-side policies is the most effective way of reducing a country’s rate of unemployment.",,,,,,,,,,,,,,,,,,
Define the term Common pool resources,"Explain and state the PED for the following  perfectly elastic, perfectly
inelastic and unitary PED along a demand curve",,"Using real-world examples, discuss the advantages and disadvantages for a  country of being a member of a trading bloc.",,,,,,,,,,,,,,,,,,
Define the term Comparative advantage,"Using a diagram, Explain one way a firm can use PED for decisionmaking ",,Discuss the significance of price elasticity of demand (PED) for a government imposing  an indirect tax on a good.,,,,,,,,,,,,,,,,,,
Define the term Competitive market,Explain one way a government can use PED for decisionmaking,,Discuss the view that barriers to entry in a monopoly will always lead to abnormal  profits in the long run.,,,,,,,,,,,,,,,,,,
Define the term Competitive market equilibrium,Explain a difference in the PED for primary commodities as opposed to the PED for manufactured products  (AO2),,Discuss whether the real gross national income (GNI) per capita of a country is a good  indicator of its standard of living,,,,,,,,,,,,,,,,,,
Define the term Competitive supply,Explain YED,,Discuss the view that interventionist supply-side policies are the most effective way  for a government to achieve economic growth.,,,,,,,,,,,,,,,,,,
Define the term Complements,Explain the difference between income elastic demand and income inelastic demand,,Evaluate the importance of cross price elasticity of demand for a business selling a good if the price of a related good increases.,,,,,,,,,,,,,,,,,,
Define the term Composite indicator,Explain the difference between positive and negative YED,,Discuss the implications of the direct provision of public goods by a government.,,,,,,,,,,,,,,,,,,
Define the term Concentration ratios,Explain the difference between YED that's YED>1 and YED<1,,Evaluate the view that expansionary monetary policy is the most effective way to achieve economic growth.,,,,,,,,,,,,,,,,,,
Define the term Consumer confidence,"Using a supply and demand diagram, explain the relationship between the price and quantity demanded.",,Discuss the view that economic growth always leads to a rise in living standards.,,,,,,,,,,,,,,,,,,
Define the term Consumer goods,"Using a supply and demand diagram, show the difference between a demand and quantity demanded.",,"Discuss how the introduction of a subsidy in a market will affect consumers, producers and the government.",,,,,,,,,,,,,,,,,,
Define the term Consumer nudges,Explain two determinants of demand.,,Discuss how governments restrict monopoly power.,,,,,,,,,,,,,,,,,,
Define the term Consumer price index (CPI),Explain how income shift the demand curve.,,Discuss the view that the redistribution of income is the most important impact that inflation has on an economy.,,,,,,,,,,,,,,,,,,
Define the term Consumer surplus,Explain how tastes and preferences shift the demand curve.,,Discuss whether government regulation is the most effective way to deal with negative externalities of consumption.,,,,,,,,,,,,,,,,,,
Define the term Consumer rationality,Explain how future price expections shift the demand curve.,,Discuss the consequences for different stakeholders when the government imposes a price ceiling on a market.,,,,,,,,,,,,,,,,,,
Define the term Consumption (C),Explain how price of related goods shift the demand curve.,,Evaluate the impact on efficiency in the allocation of resources when the government uses taxation to promote equity.,,,,,,,,,,,,,,,,,,
Define the term Contractionary fiscal policy,Explain how number of consumers shift the demand curve.,,Discuss whether the most important consequence of unemployment is a loss of income for individuals.,,,,,,,,,,,,,,,,,,
Define the term Contractionary monetary policy,Explain the difference between movements along the demand curve and shifts of the demand curve.,,Evaluate the view that a decrease in aggregate demand would always be deflationary.,,,,,,,,,,,,,,,,,,
Define the term Corporate indebtedness,explain the degrees of PES and theoretical range of values for PES,,"Evaluate the view that the threat to sustainability, caused by economic activity requiring the use of fossil fuels, is best addressed through the use of carbon taxes.",,,,,,,,,,,,,,,,,,
Define the term Corporate social responsibility,"explain the determinants of PES—time, mobility of factors of production, unused capacity, ability to store, rate at which costs increase",,Discuss the view that price floors are more effective than subsidies in providing assistance to producers in the agricultural sector.,,,,,,,,,,,,,,,,,,
Define the term Cost-push inflation,"Using a supply and demand diagram, explain how the price elastiity of supply responds to an increase in the cost of production. ",,Evaluate the effectiveness of fiscal policy as a means of achieving long-term economic growth.,,,,,,,,,,,,,,,,,,
Define the term Credit items,"Using a diagram, explain the government intervention of indirect tax and its effect of the demand of demerit good ",,Evaluate the effectiveness of monetary policy in reducing an economy’s rate of unemployment.,,,,,,,,,,,,,,,,,,
Define the term Credit rating,"Using a diagram, explain the government intervention of indirect tax and its effect of the demand of demerit good ",,Evaluate the effectiveness of government regulations in achieving a reduction in the consumption of demerit goods.,,,,,,,,,,,,,,,,,,
Define the term Crowding out,"Using a diagram, show a market operating at allocative efficiency",,Discuss the consequences of a perfectly competitive market becoming a monopoly market.,,,,,,,,,,,,,,,,,,
Define the term Current account,"Using a diagram, show how a government introducing indirect taxes could help achieve allocative effeciency in the ",,Evaluate the effectiveness of interventionist supply-side policies in reducing demand-pull inflation.,,,,,,,,,,,,,,,,,,
Define the term Current account deficit,Draw a market for oil showing the welfare loss,,Discuss the consequences of different types of unemployment.,,,,,,,,,,,,,,,,,,
Define the term Current account surplus,Explain why merit goods tend to be under-provided in a free market.,,Discuss the significance of income elasticity of demand for producers of primary products and producers of manufactured goods when incomes are rising.,,,,,,,,,,,,,,,,,,
Define the term Current expenditures,"Using a diagram, show how a negative externality of production can be corrected by indirect taxes",,Evaluate the view that a price ceiling is an ineffective policy to protect low-income consumers.,,,,,,,,,,,,,,,,,,
Define the term Current transfers,Explain why tragedy of the commons is unsustainable,,Evaluate the view that fiscal policy is the best way to reduce unemployment.,,,,,,,,,,,,,,,,,,
Define the term Customs union,"Using a diagram, explain how production that causes pollution leads to market failure.",,Evaluate the view that progressive income tax is the best way to increase equity in an economy.,,,,,,,,,,,,,,,,,,
Define the term Cyclical (demand-deficient) unemployment,"Using an externality diagram, explain how coal-fired power plants in the might cause market failure
",,Evaluate the use of carbon taxes to reduce threats to sustainability.,,,,,,,,,,,,,,,,,,
Define the term Debit items,"Using an externality diagram, show how the implementation of carbon taxes could reduce market failure in Oil production?",,Evaluate the view that the use of legislation and regulation by government is the most effective way to control monopoly power.,,,,,,,,,,,,,,,,,,
Define the term Debt relief (cancellation),Show how the legalization of cannabis in Thailand contributed to market failure,,Discuss the possible consequences of deflation for an economy.,,,,,,,,,,,,,,,,,,
Define the term Debt servicing,Discuss the view that imposing an indirect tax on petrol is the most effective way of reducing the market failure caused by cars.,,Discuss the view that economic growth always leads to rising living standards.,,,,,,,,,,,,,,,,,,
Define the term Default choice,"Using a diagram, show the effect of subsidies.",,Evaluate the effectiveness of tariffs as a tool to reduce trade imbalances.,,,,,,,,,,,,,,,,,,
Define the term Deflation,"Using a diagram, show the imposition of indirect tax to fix externalities",,"Using real-world examples, discuss the arguments for and against free trade in the global market for clean energy products.",,,,,,,,,,,,,,,,,,
Define the term Deflationary gap,Explain how a government policy may attempt to manage common pool resources,,"Using real-world examples, discuss the consequences of a rising current account surplus.",,,,,,,,,,,,,,,,,,
Define the term Demand,Explain why challenges involved in measurement of externalities may cause the government to not have a perfect intervention and may need a second intervention,,"Discuss the view that the best way to reduce the threat to sustainability, arising from the burning of fossil fuels, is for the government to provide subsidies to firms that produce energy through renewable sources.",,,,,,,,,,,,,,,,,,
Define the term Demand curve,Explain how a government policy may attempt to manage common pool resources,,Discuss the view that perfect competition is a more desirable market structure than monopoly.,,,,,,,,,,,,,,,,,,
Define the term Demand-deficient (cyclical) unemployment,Explain why challenges involved in measurement of externalities may cause the government to not have a perfect intervention and may need a second intervention,,Evaluate the view that economic growth is best achieved through improvements in technology.,,,,,,,,,,,,,,,,,,
Define the term Demand management,"using a diagram, explain how firms maximize profit",,Discuss the view that the use of monetary policy is always the best way to reduce inflation.,,,,,,,,,,,,,,,,,,
Define the term Demand-pull inflation,"using a diagram, explain how new firms may gain abnormal profit or losses in the short run in perfect competition market",,"Using real-world examples, discuss the possible impacts of market-based and interventionist policies on economic development.",,,,,,,,,,,,,,,,,,
Define the term Demand side policies,"using a diagram, how does oligopoly make profit",,Evaluate the consequences of rising incomes on service sector producers (such as hotels) and primary sector producers (such as rice farmers).,,,,,,,,,,,,,,,,,,
Define the term Demerit goods,"using the information given, calculate total revenue",,Discuss whether advertising by the government is the most appropriate way of increasing consumption of a merit good.,,,,,,,,,,,,,,,,,,
Define the term Depreciation,"using the information given, calculate marginal cost",,Discuss whether the use of fiscal policy is the most effective way to bring an economy out of a recession.,,,,,,,,,,,,,,,,,,
Define the term Deregulation,"using the diagram given, calculate abnormal profit",,Discuss the view that deflation will always be bad for an economy.,,,,,,,,,,,,,,,,,,
Define the term Devaluation,"using the diagram given, calculate normal profit",,"The income elasticity of demand for primary commodities tends to be relatively low, while the income elasticity of demand for manufactured goods and services tends to be higher. Examine the likely effects of this for individual producers and for the economy as a whole.",,,,,,,,,,,,,,,,,,
Define the term Development aid,"using the diagram given, calculate losses",,Evaluate the effectiveness of using indirect taxation to correct market failure,,,,,,,,,,,,,,,,,,
Define the term Direct provisions,"using the information given, calculate average revenue/average cost",,Evaluate the effectiveness of using monetary policy to reduce the rate of inflation,,,,,,,,,,,,,,,,,,
Define the term Direct taxes,"using a supply demand diagram, explain how firms maximize profits",,Discuss the view that the consequences of economic growth are always beneficial.,,,,,,,,,,,,,,,,,,
Define the term Discount rate,"Using a circular flow model, explain who the free market results in inequalities",,"Using real-world examples, discuss the possible impacts of market-based policies on economic development.",,,,,,,,,,,,,,,,,,
Define the term Disinflation,"Using the circular flow of income diagram, explain how real GDP is measured.",,"Using real-world examples, discuss the possible impacts of interventionist policies on economic development.",,,,,,,,,,,,,,,,,,
Define the term Diversification,Explain the difference between GNI and GDP,,Discuss the view that there is no trade-off between inflation and unemployment.,,,,,,,,,,,,,,,,,,
Define the term Domestic producer,explain why the terms 'national income' and 'aggregate output' are often used interchangeably,,"Using real-world examples, Evaluate the consequences of economic growth",,,,,,,,,,,,,,,,,,
Define the term Dumping,"Using a diagram, explain two phases of the business cycle",,"Using real-world examples, discuss 2 conflicts between macroeconomic objectives",,,,,,,,,,,,,,,,,,
Define the term Economically least developed countries (ELDCs),"With reference to demand and supply in competitive markets, explain how the economic question ""what to produce"" is answered.",,Evaluate government policies to deal with the different types of unemployment.,,,,,,,,,,,,,,,,,,
Define the term Economic development,Explain why firms in oligopolistic markets may prefer to use non-price competition. ,,"Using real-world examples, discuss the potential trade-off between unemployment  and inflation. ",,,,,,,,,,,,,,,,,,
Define the term Economic growth,Explain two limitations of the theory of comparative advantage.,,"Using real-world examples, evaluate the effectiveness of monetary policy to achieve low and stable inflation.",,,,,,,,,,,,,,,,,,
Define the term Economic integration,Explain why structural unemployment may occur in an economy. ,,"Using real-world examples, evaluate the effectiveness of monetary policy to achieve low unemployment.",,,,,,,,,,,,,,,,,,
Define the term Economics,Explain why governments provide subsidies for some goods and services. ,,"Using real-world examples, evaluate the effectiveness of monetary policy to achieve economic growth",,,,,,,,,,,,,,,,,,
Define the term Economic well-being,Explain two goals of fiscal policy.,,"Using real-world examples, evaluate the effectiveness of fiscal policy to achieve low and stable inflation.",,,,,,,,,,,,,,,,,,
Define the term Economies of scale,Explain two forms of government intervention in markets.,,"Using real-world examples, evaluate the use of fiscal policy to achieve low unemployment.",,,,,,,,,,,,,,,,,,
Define the term Efficiency,Explain how short-term fluctuations in the level of economic activity may be evened out through the impact of automatic stabilizers.,,"Using real-world examples, evaluate the use of fiscal policy to achieve economic growth.",,,,,,,,,,,,,,,,,,
Define the term Elasticity,Explain how an increase in the price of air travel might affect the demand for its complements and its substitutes. ,,"Using real-world examples, evaluate the use of fiscal policy to close a recessionary gap.",,,,,,,,,,,,,,,,,,
Define the term Elasticity of demand for exports, Explain two factors that might cause an appreciation of a currency.,,"Using real-world examples, evaluate the use of monetary policy to close a recessionary gap.",,,,,,,,,,,,,,,,,,
Define the term Elasticity of demand for imports,"With reference to the income, output and expenditure approaches, explain how the real gross national product (GNP)/gross national income (GNI) per capita of a country can be measured. ",,"Using real-world examples, evaluate the use of monetary policy to close a recessionary gap.",,,,,,,,,,,,,,,,,,
Define the term Embargo,Explain how the price elasticity of demand for a good might be affected by the number and closeness of substitutes.,,"Using real-world examples, evaluate the use of supply-side policies in achieving economic growth",,,,,,,,,,,,,,,,,,
Define the term Empirical evidence,"Explain why the exploitation of common access resources, such as uncontrolled  fishing, might pose a threat to sustainability.",,"Using real-world examples, evaluate the use of supply-side policies in achieving low and stable inflation.",,,,,,,,,,,,,,,,,,
Define the term Engel curve,Explain why structural unemployment might occur in an economy. ,,"Using real-world examples, evaluate the use of supply-side policies in achieving  low unemployment.",,,,,,,,,,,,,,,,,,
Define the term Entrepreneurship,Explain how an increase in investment might lead to economic growth.,,"Using real-world examples, discuss the issues of large firms having significant market power",,,,,,,,,,,,,,,,,,
Define the term Equilibrium,Explain how expansionary fiscal policy could be used to close a deflationary (recessionary) gap.,,"Using real world examples, evaluate the use of GDP to make comparisons overtime and comparisons between countries.",,,,,,,,,,,,,,,,,,
Define the term Equity,Explain two reasons why a government might want to subsidize a good or service. ,,,,,,,,,,,,,,,,,,,,
Define the term Excess demand,Explain why the existence of positive externalities of consumption would lead to  allocative inefficiency and thus a welfare loss.,,,,,,,,,,,,,,,,,,,,
Define the term Excess supply,Explain how the use of supply-side policies might encourage greater domestic  competition and improve the international competitiveness of a country.,,,,,,,,,,,,,,,,,,,,
Define the term Exchange rate,Distinguish between perfect competition and monopolistic competition.,,,,,,,,,,,,,,,,,,,,
Define the term Excludable,Explain why some firms might choose the goal of profit maximization while others might choose to adopt satisficing behaviour.,,,,,,,,,,,,,,,,,,,,
Define the term Excise taxes,Explain how political and social factors can act as barriers to economic growth  and economic development.,,,,,,,,,,,,,,,,,,,,
Define the term Expansionary fiscal policy,Explain how the use of supply-side policies might encourage greater domestic  competition and improve the international competitiveness of a country.,,,,,,,,,,,,,,,,,,,,
Define the term Expansionary monetary policy,Explain why a sustainable level of government (national) debt is an important  macroeconomic objective. ,,,,,,,,,,,,,,,,,,,,
Define the term Expenditure approach,Explain how expansionary fiscal policy could be used to close a deflationary (recessionary) gap. ,,,,,,,,,,,,,,,,,,,,
Define the term Expenditure reducing,Distinguish between a free trade area and a common market.,,,,,,,,,,,,,,,,,,,,
Define the term Expenditure switching,Governments intervene in markets to support firms and to promote equity.  Explain one policy that could be used to support firms and one policy that could be used to promote equity.,,,,,,,,,,,,,,,,,,,,
Define the term Exports,Explain why dependence on primary sector production may be considered a barrier to economic development.,,,,,,,,,,,,,,,,,,,,
Define the term Export promotion,Explain two reasons why the demand for primary commodities might be price inelastic.,,,,,,,,,,,,,,,,,,,,
Define the term Export revenue,Explain how two types of economies of scale can lead to a fall in long-run  average costs.,,,,,,,,,,,,,,,,,,,,
Define the term Export subsidy,Explain the impact that a cut in taxation and an increase in government spending might  have on the circular flow of income.,,,,,,,,,,,,,,,,,,,,
Define the term External balance,Explain the effect an increase in investment might have on real gross domestic  product (GDP) using the Keynesian multiplier.,,,,,,,,,,,,,,,,,,,,
Define the term Externalities,Explain two reasons why the demand for manufactured goods might be price elastic.,,,,,,,,,,,,,,,,,,,,
Define the term Factors of production,Explain the view that the best allocation of resources occurs when consumer surplus and producer surplus are maximized.,,,,,,,,,,,,,,,,,,,,
Define the term Rewards FoPs,Explain why a reduction in interest rates might lead to an increase in aggregate demand.,,,,,,,,,,,,,,,,,,,,
Define the term Financial account,"Explain, using a production possibilities curve (PPC) diagram, an increase in the actual output of an economy.",,,,,,,,,,,,,,,,,,,,
Define the term Firm,Explain how a natural monopoly may arise.,,,,,,,,,,,,,,,,,,,,
Define the term Firms,Explain why there is a possible trade-off between the unemployment rate and the inflation rate in the short run.,,,,,,,,,,,,,,,,,,,,
Define the term Fines,Explain why measuring unemployment in a country is difficult.,,,,,,,,,,,,,,,,,,,,
Define the term Fiscal policy,Explain how production that causes pollution leads to market failure.,,,,,,,,,,,,,,,,,,,,
Define the term Fixed exchange rate,Explain the impact of a price floor on market outcomes.,,,,,,,,,,,,,,,,,,,,
